tool_name	issue_type	reviewer_decision	reviewer_notes	reviewed_by	review_time	formal_ingest_allowed_now	recommendation_use_allowed_now
CellTypist	graph_tool_node_missing	create_tool_node	Create Tool node from scrna_tools.tsv metadata, then rerun formal-only backfill.	human_review	2026-05-19T00:00:00+08:00	false	false
Seurat	publication_anchor_missing	promote_anchor_manual	Injected Seurat V3 and V4 anchors; wrapper/protocol candidates remain non-canonical.	human_review	2026-05-19T00:00:00+08:00	true	true
SingleR	publication_anchor_missing	promote_anchor_manual	Injected canonical SingleR anchor; DOI corrected to official Nature Immunology DOI.	human_review	2026-05-19T00:00:00+08:00	true	true
MAESTRO	publication_anchor_missing	promote_anchor_manual	Injected canonical MAESTRO paper; editorial shell remains quarantine.	human_review	2026-05-19T00:00:00+08:00	true	true
MIMOSCA	publication_anchor_missing	promote_anchor_manual	Injected Perturb-seq/MIMOSCA framework anchor with boundary risk note.	human_review	2026-05-19T00:00:00+08:00	true	true
MOFA	publication_anchor_missing	legacy_provenance	MOFA v1 not promoted; MOFA2 remains recommendation authority.	human_review	2026-05-19T00:00:00+08:00	false	false
velociraptor	publication_anchor_missing	wrapper_only	Bioconductor wrapper for scVelo; retrieval-only, no canonical method promotion.	human_review	2026-05-19T00:00:00+08:00	false	false
scIB	benchmark_source_missing	framework_not_tool	Treat as benchmark protocol/framework, not an evaluated recommendation tool.	human_review	2026-05-19T00:00:00+08:00	false	false
scvi-tools	benchmark_source_missing	extract_benchmark_fact	Added scIB qualitative benchmark fact for scVI/scANVI variants.	human_review	2026-05-19T00:00:00+08:00	true	true
SingleR	benchmark_source_missing	extract_benchmark_fact	Added annotation benchmark fact using DOI 10.1093/bib/bbad418.	human_review	2026-05-19T00:00:00+08:00	true	true
MOFA2	benchmark_source_missing	source_verified_formalized	Source verification resolved on 2026-05-20; promoted bounded joint dimensionality-reduction benchmark fact as HR_BMK_MOFA2_jDR_cancer_2021.	human_review	2026-05-19T00:00:00+08:00	true	true
scVelo	benchmark_source_missing	source_verified_formalized	Source verification resolved on 2026-05-20; promoted RNA velocity caveat/negative-control benchmark fact as HR_BMK_scVelo_velocity_unraveled_2022.	human_review	2026-05-19T00:00:00+08:00	true	true
cell2location	benchmark_source_missing	source_verified_formalized	Source verification resolved on 2026-05-20; promoted spatial deconvolution benchmark fact as HR_BMK_cell2location_spatial_deconvolution_2022.	human_review	2026-05-19T00:00:00+08:00	true	true
CellPLM	benchmark_source_missing	defer_benchmark	Independent third-party foundation-model benchmark not yet established.	human_review	2026-05-19T00:00:00+08:00	false	false
nicheformer	benchmark_source_missing	defer_benchmark	Independent third-party benchmark deferred.	human_review	2026-05-19T00:00:00+08:00	false	false
moscot	benchmark_source_missing	defer_benchmark	New tool; rely on primary paper self-evaluation for now.	human_review	2026-05-19T00:00:00+08:00	false	false
CellRank	benchmark_source_missing	defer_benchmark	External benchmark deferred; current candidate shells not usable.	human_review	2026-05-19T00:00:00+08:00	false	false
SeuratExtend	benchmark_source_missing	defer_benchmark	Ecosystem component; performance authority inherited from underlying Seurat/Scanpy context.	human_review	2026-05-19T00:00:00+08:00	false	false
MAESTRO	benchmark_source_missing	defer_benchmark	Pipeline/workflow, not a single algorithm benchmark target.	human_review	2026-05-19T00:00:00+08:00	false	false
MIMOSCA	benchmark_source_missing	defer_benchmark	Perturbation inference lacks stable unified benchmark in current scope.	human_review	2026-05-19T00:00:00+08:00	false	false
wot	benchmark_source_missing	defer_benchmark	Optimal-transport trajectory applications are highly context-specific; benchmark deferred.	human_review	2026-05-19T00:00:00+08:00	false	false
MOFA	benchmark_source_missing	ignore	Superseded by MOFA2 for recommendation authority.	human_review	2026-05-19T00:00:00+08:00	false	false
velociraptor	benchmark_source_missing	ignore	Wrapper performance should be attributed to scVelo, not velociraptor.	human_review	2026-05-19T00:00:00+08:00	false	false
