query_id	target_task	target_modality	source_tool	source_task	transferable_mechanism	vector_similarity	graph_jaccard	io_compatibility	compatibility_gaps	risk_level	candidate_decision	suggested_decision	risk_notes	reviewer_decision	reviewer_notes
MIG_V09_GAP_001	Spatial Deconvolution	Spatial Transcriptomics	cell2location	Spatial Deconvolution	Bayesian count-mixture deconvolution can inspire exploratory transfer to non-Visium spatial assays whose locations remain mixed cell-type signals.	high	partial	high	requires matched or defensible single-cell reference; new assay geometry needs validation; abundance estimates cannot be assumed benchmark-backed	medium	review_needed	accept_exploratory	Addresses v0.8 false negative MIG_V08_003 and should remain exploratory, not a direct replacement claim.	accept_exploratory	Bayesian count-mixture deconvolution may be explored for non-Visium or pixel-aggregated spatial matrices, but new assay geometry requires explicit validation and no benchmark-backed performance claim is allowed.
MIG_V09_GAP_002	Cell Type Annotation	scRNA-seq	SingleR	Cell Type Annotation	Reference-correlation scoring can transfer as an exploratory label-similarity mechanism for cross-tissue atlas problems when no directly matched annotator exists.	high	partial	high	requires trusted reference atlas; label hierarchy and domain shift must be checked; unseen states remain weak	medium	review_needed	accept_exploratory	Addresses v0.8 reference-label migration gap while preserving reference-coverage caveat.	accept_exploratory	Reference-correlation scoring may serve as a descriptive label-similarity signal across atlases, but it must not be treated as a decisive classifier; unseen cell states and reference coverage remain major caveats.
MIG_V09_GAP_003	Cell Type Annotation	scRNA-seq	CellTypist	Cell Type Annotation	Reference-trained classifier confidence can transfer as an exploratory label-similarity mechanism for cross-tissue atlas annotation hypotheses.	high	partial	high	requires curated reference model; domain shift and label granularity must be validated; classifier confidence is not biological certainty	medium	review_needed	accept_exploratory	Companion vector to SingleR for v0.9 reference-label transfer.	accept_exploratory	Classifier log-odds may be reused as an exploratory association score, but classifier confidence is sensitive to domain shift and is not a biological gold standard.
MIG_V09_GAP_004	Data Integration	scRNA-seq	Harmony	Data Integration	Embedding-level correction can transfer as a fast exploratory cross-sample alignment prototype when raw-count generative modeling is not required.	high	partial	partial	requires precomputed high-quality embedding; cannot infer raw count corrections; alignment must be validated against biology preservation	medium	review_needed	accept_exploratory	Targets embedding-level alignment prototype vectors surfaced in v0.8.	accept_exploratory	Embedding-level soft-cluster correction is acceptable for rapid alignment prototypes only; it cannot restore or generate raw counts and must be blocked for generative count-modeling requests.
MIG_V09_GAP_005	Data Integration	scRNA-seq	Seurat	Data Integration	Anchor or WNN matching ideas can transfer as exploratory cross-sample or cross-modal alignment hypotheses.	medium	partial	partial	version-specific workflow; claims must specify anchor/WNN scope; not a single fixed algorithmic guarantee	medium	review_needed	accept_exploratory	Useful for migration hypotheses only when the mechanism is anchor/WNN matching, not generic Seurat superiority.	accept_exploratory	Accept only when the transferable mechanism is explicitly CCA/RPCA/WNN anchor matching; block generic claims that Seurat itself is broadly superior.
MIG_V09_GAP_006	Foundation Model Representation	scRNA-seq	CellPLM	Foundation Model Representation	Pretrained cell embeddings can be used as exploratory feature extractors for rare representation-transfer tasks.	high	partial	partial	independent third-party benchmarks limited; embeddings do not provide causal proof; downstream validation required	high	review_needed	accept_exploratory	Reduces profile-only foundation-model migration paths while preserving benchmark caveat.	accept_exploratory	Pretrained cell embeddings may support exploratory linear probing or feature extraction, but they must not be used to infer causal regulatory networks without separate validation.
MIG_V09_GAP_007	Foundation Model Representation	Spatial Transcriptomics	nicheformer	Foundation Model Representation	Niche-aware embeddings can inspire exploratory spatial microenvironment representation hypotheses.	high	partial	partial	must not replace deconvolution tools; spatial embedding does not equal abundance estimate; validation required	high	review_needed	accept_exploratory	Accept only for niche representation or mechanism comparison, not spatial deconvolution.	accept_exploratory	Niche-aware spatial transformer attention is accepted only for exploratory microenvironment representation; it must never replace cell2location-style spatial deconvolution or abundance estimation.
MIG_V09_GAP_008	Foundation Model Representation	Spatial Transcriptomics	cell2location	Spatial Deconvolution	Reference-based spatial abundance modeling can serve as a contrastive mechanism when comparing niche representation against dedicated composition models.	medium	partial	partial	only supporting comparator for mechanism analysis; not a foundation model; requires matched reference and deconvolution validation	medium	review_needed	accept_exploratory	Supports mechanism-comparison queries where cell2location is an explicit comparator, not a general representation source.	accept_exploratory	cell2location is accepted only as a composition-model comparator or higher-order control baseline in foundation-model evaluation; it is not a foundation representation source.
MIG_V09_GAP_009	Trajectory Inference	scRNA-seq	CellRank	Trajectory Inference	Transition-kernel composition and absorbing-state probability can transfer as exploratory fate-hypothesis machinery when a credible kernel exists.	high	partial	partial	requires transition kernel, pseudotime, velocity, or other justified dynamics; UMAP alone is insufficient	medium	review_needed	accept_exploratory	Needed for fate-hypothesis positives and boundary cases.	accept_exploratory	Markov absorbing-state probabilities and transition-kernel cascades are valid only when a legitimate transition kernel exists; UMAP-only graphs must be hard-blocked.
MIG_V09_GAP_010	RNA Velocity	scRNA-seq	scVelo	RNA Velocity	Splicing kinetic directionality can transfer only as an exploratory dynamic-state hypothesis when spliced/unspliced layers are present.	high	partial	partial	requires spliced/unspliced layers; kNN smoothing and kinetic assumptions can distort direction; not valid for ordinary expression-only matrices	high	review_needed	accept_exploratory	Accept as RNA-velocity-specific mechanism with strong layer requirement.	accept_exploratory	scVelo-style ODE directionality is accepted only when explicit spliced/unspliced layers exist; ordinary expression-only count matrices must be hard-blocked.
MIG_V09_GAP_011	Doublet Detection	scRNA-seq	DoubletFinder	Doublet Detection	Artificial-doublet generation can transfer as an exploratory synthetic-positive anomaly scoring mechanism.	high	partial	partial	requires task-specific synthetic positive generator and threshold validation; not a generic QC detector	medium	review_needed	accept_exploratory	Complements Scrublet for simulation-based anomaly migration.	accept_exploratory	Artificial-positive mixture simulation can be explored for anomaly scoring, but it must not be treated as generic QC filtering without a task-specific simulator and threshold validation.
MIG_V09_GAP_012	Multiome Integration	scRNA-seq+scATAC-seq	scvi-tools	Multiome Integration	Deep latent-variable modeling can transfer as exploratory probabilistic multi-view representation when uncertainty and covariates matter.	medium	partial	partial	black-box model; requires training diagnostics; not automatically interpretable or benchmark-backed for migration target	high	review_needed	needs_more_evidence	Keep conservative unless the query explicitly needs probabilistic latent modeling and validation.	needs_more_evidence	Do not promote suite-level scvi-tools migration. Require explicit subclass and loss definition, such as MultiVI or totalVI, before any exploratory vector is accepted.
MIG_V09_GAP_013	QC	scRNA-seq	Scanpy	QC	AnnData-centered workflow utilities may support migration prototypes but do not constitute a single transferable algorithm.	low	low	partial	toolkit not a single algorithm; benchmark claims must be function-specific; avoid treating as migration source mechanism	medium	review_needed	reject_incompatible	Marking this reviewed should prevent silent profile-only status, but it should not be promoted as accepted migration vector.	reject_incompatible	Reject toolkit-level Scanpy migration: AnnData workflow utilities are not a discrete transferable mathematical algorithm and must not become API-pile graph edges.
